"month","year","site_code","monthly_avg"
1,2021,"ARIK",1.18904006410256
1,2021,"BIGC",5.25101348039216
1,2021,"BLDE",0.0460803571428572
1,2021,"CUPE",21.3385610119048
1,2021,"GUIL",20.2324647435897
1,2021,"LEWI",6.77303685897436
1,2021,"MART",6.30920052083333
1,2021,"MAYF",8.84333928571429
1,2021,"MCDI",3.87813141025641
1,2021,"POSE",2.05450641025641
1,2021,"PRIN",6.72757152777778
1,2021,"REDB",0.952932471264368
1,2021,"TECR",0.663960488505747
1,2021,"WALK",8.96166594827586
1,2021,"WLOU",0.0777793560606061
2,2021,"ARIK",2.67294494047619
2,2021,"BIGC",5.12223406862745
2,2021,"BLDE",0.0694122023809524
2,2021,"BLUE",9.144325
2,2021,"CUPE",21.3707416666667
2,2021,"GUIL",19.9844444444445
2,2021,"HOPB",0.206731150793651
2,2021,"LEWI",6.36216025641026
2,2021,"MCDI",3.01149404761905
2,2021,"POSE",1.283359375
2,2021,"PRIN",7.38951190476191
2,2021,"REDB",1.38615833333333
2,2021,"TECR",0.916762019230769
2,2021,"WALK",10.0692203525641
2,2021,"WLOU",0.0857206790123457
3,2021,"ARIK",7.13963958333333
3,2021,"BIGC",6.00552469135802
3,2021,"BLDE",0.154580357142857
3,2021,"BLUE",13.4986466049383
3,2021,"COMO",0.0828153735632184
3,2021,"CUPE",21.5618824404762
3,2021,"GUIL",21.2651770833333
3,2021,"LEWI",10.1620030864198
3,2021,"MAYF",15.8197222222222
3,2021,"MCDI",9.41454389880952
3,2021,"POSE",7.13591746794872
3,2021,"PRIN",14.3897083333333
3,2021,"REDB",2.0005
3,2021,"TECR",1.19056527777778
3,2021,"WALK",12.2239863782051
3,2021,"WLOU",0.136106481481481
4,2021,"ARIK",10.9705825617284
4,2021,"BIGC",10.0805496794872
4,2021,"BLDE",0.848789262820513
4,2021,"BLUE",16.9087123397436
4,2021,"COMO",0.0278181818181818
4,2021,"CUPE",22.2705431034483
4,2021,"GUIL",21.7461458333334
4,2021,"KING",12.5319732142857
4,2021,"LEWI",12.6942975
4,2021,"MCDI",12.1383765432099
4,2021,"POSE",11.3713058035714
4,2021,"PRIN",16.71775
4,2021,"REDB",4.44459681372549
4,2021,"TECR",4.11960176282051
4,2021,"WALK",13.0264278273809
4,2021,"WLOU",0.364389880952381
5,2021,"ARIK",17.3341472701149
5,2021,"BIGC",12.5028221153846
5,2021,"BLDE",4.95191666666667
5,2021,"BLUE",18.7220681089744
5,2021,"CARI",1.77686921296296
5,2021,"COMO",0.0185625
5,2021,"CUPE",22.7416127873563
5,2021,"GUIL",23.1411354166667
5,2021,"HOPB",12.8492140804598
5,2021,"KING",14.7887283333333
5,2021,"LEWI",14.4629925
5,2021,"MCDI",14.6284419642857
5,2021,"POSE",14.3429899691358
5,2021,"PRIN",20.6514455128205
5,2021,"REDB",8.18183749999999
5,2021,"SYCA",25.3531675347222
5,2021,"TECR",7.98885863095238
5,2021,"WALK",13.5271383928571
5,2021,"WLOU",1.35778935185185
6,2021,"ARIK",21.6447435897436
6,2021,"BIGC",16.2634676724138
6,2021,"BLDE",11.7203317901235
6,2021,"BLUE",19.7277824074074
6,2021,"CARI",4.23630478395062
6,2021,"COMO",6.1673725
6,2021,"CUPE",23.0432222222222
6,2021,"GUIL",22.3919362745098
6,2021,"HOPB",17.6672073863636
6,2021,"KING",17.8747320075757
6,2021,"LEWI",17.4296168154762
6,2021,"POSE",18.5349682971014
6,2021,"PRIN",25.3812591666667
6,2021,"SYCA",32.7780918560606
6,2021,"TECR",11.9821650641026
6,2021,"WALK",15.5821235632184
6,2021,"WLOU",4.8497075
7,2021,"ARIK",22.999325617284
7,2021,"BIGC",18.8153836805556
7,2021,"BLDE",14.5651955128205
7,2021,"BLUE",17.2592345679012
7,2021,"CARI",5.36352003205128
7,2021,"COMO",9.34996006944444
7,2021,"CUPE",23.5131361607143
7,2021,"GUIL",23.3209166666666
7,2021,"HOPB",16.9969925
7,2021,"KING",17.9249236111111
7,2021,"LEWI",18.7432047101449
7,2021,"MART",15.7246938405797
7,2021,"MAYF",18.6158111979167
7,2021,"MCRA",11.7880833333333
7,2021,"OKSR",13.1194036458333
7,2021,"POSE",20.1113802083333
7,2021,"PRIN",27.584859775641
7,2021,"REDB",15.2474560185185
7,2021,"SYCA",34.2739583333334
7,2021,"TECR",14.5579205246914
7,2021,"WALK",16.6540319940476
7,2021,"WLOU",8.05974916666667
8,2021,"ARIK",22.0428995535714
8,2021,"BIGC",17.5616594202899
8,2021,"BLDE",12.4015362654321
8,2021,"BLUE",17.0447455357143
8,2021,"CARI",4.26309916666667
8,2021,"COMO",8.66995761494253
8,2021,"CUPE",23.768380952381
8,2021,"GUIL",23.6234722222222
8,2021,"HOPB",19.075728422619
8,2021,"KING",18.3896866319444
8,2021,"LEWI",19.2481282051282
8,2021,"MART",15.6850793269231
8,2021,"MCRA",13.3376375
8,2021,"OKSR",6.49291765873016
8,2021,"PRIN",27.2853672839506
8,2021,"REDB",13.0445739583333
8,2021,"TECR",13.0813012820513
8,2021,"WALK",17.1052033333333
8,2021,"WLOU",7.42702678571429
9,2021,"ARIK",17.7251540178571
9,2021,"BIGC",14.9266987847222
9,2021,"BLDE",8.75249479166667
9,2021,"BLUE",16.0815171130952
9,2021,"CARI",2.47354166666667
9,2021,"COMO",6.4278768115942
9,2021,"CUPE",23.8712048611111
9,2021,"GUIL",22.5623958333333
9,2021,"HOPB",16.0555536858974
9,2021,"KING",17.5292525
9,2021,"LEWI",16.7635455246914
9,2021,"MART",12.6811476449275
9,2021,"MCDI",18.7107850877193
9,2021,"OKSR",4.43627083333333
