"date","site_code","grab_sample","var","var_category","val","ms_status","ms_interp","val_err"
2021-03-25,"ARIK",0,"discharge","discharge",45.342694058642,0,0,0.000269856561380619
2021-03-26,"ARIK",0,"discharge","discharge",40.6607983024691,0,0,0.000298672145557932
2021-03-27,"ARIK",0,"discharge","discharge",37.0018063271605,0,0,0.000333286993770506
2021-03-28,"ARIK",0,"discharge","discharge",32.5550838734568,0,0,0.000142896174576519
2021-03-29,"ARIK",0,"discharge","discharge",31.7482456183862,0,0,0.000160388454924545
2021-03-30,"ARIK",0,"discharge","discharge",28.9997889660494,0,0,0.000162071653794386
2021-03-31,"ARIK",0,"discharge","discharge",25.9101292438272,0,0,0.000404622265807256
2021-04-01,"ARIK",0,"discharge","discharge",23.0652655864198,0,0,0.000135752110077123
2021-04-02,"ARIK",0,"discharge","discharge",21.7322215277778,0,0,0.000200575864695484
2021-04-03,"ARIK",0,"discharge","discharge",18.4922496141975,0,0,0.000269074544074965
2021-04-04,"ARIK",0,"discharge","discharge",18.1334430555556,0,0,0.000252846554160603
2021-04-05,"ARIK",0,"discharge","discharge",19.6815486882716,0,0,0.000201029168539124
2021-04-06,"ARIK",0,"discharge","discharge",19.4561192964154,0,0,0.00214167704399056
2021-04-07,"ARIK",0,"discharge","discharge",17.3803633415421,0,0,0.0166097813644538
2021-04-08,"ARIK",0,"discharge","discharge",16.5073888888889,0,0,0.000129596404308627
2021-04-09,"ARIK",0,"discharge","discharge",16.3318411265432,0,0,0.000181366519802586
2021-04-10,"ARIK",0,"discharge","discharge",15.153187654321,0,0,0.000154629832868785
2021-04-11,"ARIK",0,"discharge","discharge",15.7895677469136,0,0,0.000128277307016035
2021-04-12,"ARIK",0,"discharge","discharge",14.1901722993827,0,0,0.000133674554544163
2021-04-13,"ARIK",0,"discharge","discharge",14.1241696979718,0,0,0.000159810111409633
2021-04-14,"ARIK",0,"discharge","discharge",15.2094627314815,0,0,0.000174463173742918
2021-04-15,"ARIK",0,"discharge","discharge",15.7162986882716,0,0,0.000156693318281176
2021-04-16,"ARIK",0,"discharge","discharge",27.3185212191358,0,0,0.00157126349114669
2021-04-17,"ARIK",0,"discharge","discharge",48.987749691358,0,0,0.00138361589092794
2021-04-18,"ARIK",0,"discharge","discharge",59.0726835648148,0,0,0.00058218291766135
2021-04-19,"ARIK",0,"discharge","discharge",44.1476739175626,0,0,0.00932945098896809
