"month","year","site_code","monthly_avg"
5,2022,"LEWI",53.9928389336918
5,2022,"MART",557.461369959678
5,2022,"MAYF",186.649959397401
5,2022,"MCDI",86.9639470164609
5,2022,"MCRA",682.409478174603
5,2022,"OKSR",355.419098539272
5,2022,"POSE",43.8436840277778
5,2022,"PRIN",56.226941091954
5,2022,"SYCA",61.2628581989247
5,2022,"TECR",16.7477260304659
5,2022,"WALK",8.92607235663083
5,2022,"WLOU",141.072063228047
6,2021,"ARIK",24.2702092504701
6,2021,"BIGC",14.4187012396998
6,2021,"BLDE",411.529821920422
6,2021,"BLWA",618277.085179219
6,2021,"CARI",283.659051844279
6,2021,"COMO",247.51667210978
6,2021,"MART",19.7648414116712
6,2021,"MAYF",242.987713877866
6,2021,"OKSR",3896.98249112655
6,2021,"PRIN",121.516757769682
6,2021,"WALK",6.53238464017079
6,2021,"WLOU",155.15761698737
6,2022,"ARIK",9.84787037037037
6,2022,"BIGC",7.39923831018519
6,2022,"BLDE",1245.47328402778
6,2022,"BLUE",1399.41818904321
6,2022,"BLWA",197945.478240741
6,2022,"CARI",362.847593402778
6,2022,"COMO",297.990570779914
6,2022,"CUPE",25.5826342592593
6,2022,"FLNT",75935.996087963
6,2022,"GUIL",115.742040277778
6,2022,"HOPB",57.1678599950397
6,2022,"KING",220.540282021605
6,2022,"LECO",196.876377662037
6,2022,"LEWI",48.6999291666667
6,2022,"MART",246.223521759259
6,2022,"MAYF",70.7657923611111
6,2022,"MCDI",310.292016826923
6,2022,"MCRA",430.442823726852
6,2022,"OKSR",684.877957561728
6,2022,"POSE",14.5747731481481
6,2022,"PRIN",46.6983736111111
6,2022,"SYCA",33.0097869543651
6,2022,"TECR",8.37367939814815
6,2022,"WALK",5.97178980654762
6,2022,"WLOU",313.809610300926
7,2021,"ARIK",1.79737280576247
7,2021,"BIGC",9.10017361792973
7,2021,"BLDE",102.995486535977
7,2021,"BLWA",216151.684754562
7,2021,"CARI",235.030360627439
7,2021,"COMO",40.6218990386891
7,2021,"MART",5.23065315162301
7,2021,"MAYF",146.713197029321
7,2021,"OKSR",399.914701023392
7,2021,"PRIN",8.52182077477388
7,2021,"WALK",6.07567576831128
7,2021,"WLOU",32.572819140266
7,2022,"ARIK",0.167054659498208
7,2022,"BIGC",1.65556630824373
7,2022,"BLDE",226.445582997312
7,2022,"BLUE",1023.18965696839
7,2022,"BLWA",159332.69828629
7,2022,"CARI",339.158855790771
7,2022,"COMO",34.6921948924731
7,2022,"CUPE",31.2875934139785
7,2022,"FLNT",97229.2148801523
7,2022,"GUIL",142.014887768817
7,2022,"HOPB",17.6593171296296
7,2022,"KING",43.8729736783154
7,2022,"LECO",311.688872311828
7,2022,"LEWI",37.9569046818996
7,2022,"MART",68.700986671147
7,2022,"MAYF",64.6002547043011
7,2022,"MCDI",60.6120728009259
7,2022,"MCRA",59.4120314740143
7,2022,"OKSR",1431.45602396953
7,2022,"POSE",6.88756261200717
7,2022,"PRIN",4.09579995519713
7,2022,"SYCA",7.57059408602151
7,2022,"TECR",4.25526993727599
7,2022,"WALK",6.482075
7,2022,"WLOU",67.1879504928315
8,2021,"BIGC",9.31586755694928
8,2021,"BLDE",50.9717015843826
8,2021,"CARI",608.377643512151
8,2021,"COMO",9.16601224931656
8,2021,"MART",1.30313524920296
8,2021,"MAYF",112.06633904321
8,2021,"PRIN",72.5024233561424
8,2021,"WALK",5.80631921204532
8,2021,"WLOU",18.7576358100132
8,2022,"ARIK",0
8,2022,"BIGC",2.02581877240143
8,2022,"BLDE",78.7546089829749
8,2022,"BLUE",792.185032594086
8,2022,"BLWA",188142.487432796
8,2022,"CARI",362.585569212963
8,2022,"COMO",11.1435553315412
8,2022,"CUPE",118.804465740741
8,2022,"FLNT",74335.918224537
8,2022,"GUIL",315.538519560185
8,2022,"KING",5.56270967741935
8,2022,"LECO",149.722284386201
8,2022,"LEWI",31.8320408826165
8,2022,"MART",41.4798543346774
8,2022,"MAYF",98.8779851762821
8,2022,"MCDI",9.03493245967742
8,2022,"MCRA",12.4915165770609
8,2022,"OKSR",997.176538194445
8,2022,"POSE",4.31796550179212
8,2022,"PRIN",2.86632302867383
8,2022,"SYCA",0.4787020609319
8,2022,"TECR",2.19969466845878
8,2022,"WALK",5.7606729390681
8,2022,"WLOU",31.2811145833333
9,2021,"ARIK",0
9,2021,"BIGC",11.2905386471332
9,2021,"BLDE",50.2946493055556
9,2021,"BLUE",1391.12570833333
9,2021,"CARI",453.924407952852
9,2021,"COMO",3.321769944538
9,2021,"HOPB",120.207902777778
9,2021,"KING",3.12623958333333
9,2021,"LECO",146.531777777778
9,2021,"LEWI",52.3775555555556
9,2021,"MART",27.7953731707028
9,2021,"POSE",4.34544791666667
9,2021,"PRIN",15.1338451644626
9,2021,"REDB",16.3849375
9,2021,"TECR",2.35847222222222
9,2021,"WALK",9.57167472196397
9,2021,"WLOU",15.5692285217493
9,2022,"ARIK",0
9,2022,"BIGC",2.8550125
9,2022,"BLDE",111.800542824074
9,2022,"BLUE",689.158023842593
9,2022,"BLWA",171836.244236111
9,2022,"CARI",323.533512615741
9,2022,"COMO",2.66191257440476
9,2022,"CUPE",231.568478252924
9,2022,"GUIL",222.11424754902
9,2022,"HOPB",48.3053561197917
9,2022,"KING",1.82306064814815
9,2022,"LECO",63.4345138888889
9,2022,"LEWI",15.9578265046296
9,2022,"MAYF",48.1032951388889
9,2022,"MCDI",6.40456400462963
9,2022,"MCRA",9.77492650462963
9,2022,"OKSR",632.912190393518
9,2022,"POSE",3.79889074074074
9,2022,"PRIN",4.68452743055556
9,2022,"SYCA",0
9,2022,"TECR",4.98740046296296
9,2022,"WALK",5.86157002314815
9,2022,"WLOU",19.2301412037037
10,2021,"ARIK",0
10,2021,"BIGC",26.2787411514337
10,2021,"BLDE",40.3406712589606
10,2021,"BLUE",933.14581328405
10,2021,"BLWA",265576.054192387
10,2021,"CARI",297.822526234568
10,2021,"COMO",2.64796404569892
10,2021,"CUPE",74.4923627025463
10,2021,"FLNT",198423.993445341
10,2021,"GUIL",445.562317528736
10,2021,"HOPB",245.478657370072
10,2021,"KING",1.24126355286738
10,2021,"LECO",189.350147401434
10,2021,"LEWI",17.0711101030466
10,2021,"MART",143.39912359991
10,2021,"MAYF",71.5460744791667
10,2021,"MCDI",3.93327609767025
10,2021,"MCRA",22.2548801523297
10,2021,"OKSR",1146.71798163082
10,2021,"POSE",8.63274502314815
10,2021,"PRIN",67.4670480510753
10,2021,"TECR",3.37742282706093
10,2021,"WALK",11.525657594086
10,2021,"WLOU",9.75123174283155
11,2021,"ARIK",0
11,2021,"BIGC",29.2011402777778
11,2021,"BLDE",56.0515516493056
11,2021,"BLUE",1021.1561125
11,2021,"BLWA",172141.191605392
